Gene	class
Tb927.5.2620	4
Tb927.5.2710	4
Tb927.5.3500	4
Tb927.5.3550	4
Tb927.5.3910	4
Tb927.5.3940	4
Tb927.5.850	4
Tb927.5.930	4
Tb927.6.1150	4
Tb927.6.2400	4
Tb927.6.2530	4
Tb927.6.2680	4
Tb927.6.2810	4
Tb927.6.3070	4
Tb927.6.3710	4
Tb927.6.3910	4
Tb927.6.4040	4
Tb927.6.420	4
Tb927.6.5000	4
Tb927.6.950	4
Tb927.7.1480	4
Tb927.7.1790	4
Tb927.7.2280	4
Tb927.7.3670	4
Tb927.7.4260	4
Tb927.7.4300	4
Tb927.7.460	4
Tb927.7.4710	4
Tb927.7.510	4
Tb927.7.6180	4
Tb927.7.6840	4
Tb927.8.1440	4
Tb927.8.1780	4
Tb927.8.1940	4
Tb927.8.2040	4
Tb927.8.3330	4
Tb927.8.3350	4
Tb927.8.3390	4
Tb927.8.3920	4
Tb927.8.4550	4
Tb927.8.4860	4
Tb927.8.5200	4
Tb927.8.5420	4
Tb927.8.5450	4
Tb927.8.5540	4
Tb927.8.5600	4
Tb927.8.5700	4
Tb927.8.5840	4
Tb927.8.5870	4
Tb927.8.6050	4
Tb927.8.6740	4
Tb927.8.7240	4
Tb927.8.7570	4
Tb927.8.8140	4
Tb09.160.0390	3
Tb09.160.0410	3
Tb09.160.0510	3
Tb09.160.0600	3
Tb09.160.0610	3
Tb09.160.0790	3
Tb09.160.0815	3
Tb09.160.0840	3
Tb09.160.1290	3
Tb09.160.1400	3
Tb09.160.2020	3
Tb09.160.2150	3
Tb09.160.2650	3
Tb09.160.2770	3
Tb09.160.2900	3
Tb09.160.3110	3
Tb09.160.3740	3
Tb09.160.3780	3
Tb09.160.3800	3
Tb09.160.3830	3
Tb09.160.3990	3
Tb09.160.4180	3
Tb09.160.4310	3
Tb09.160.4430	3
Tb09.160.4450	3
Tb09.160.4690	3
Tb09.160.5070	3
Tb09.160.5180	3
Tb09.160.5230	3
Tb09.211.0260	3
Tb09.211.0310	3
Tb09.211.0700	3
Tb09.211.0900	3
Tb09.211.1540	3
Tb09.211.1610	3
Tb09.211.1640	3
Tb09.211.1680	3
Tb09.211.1850	3
Tb09.211.1900	3
Tb09.211.2190	3
Tb09.211.2720	3
Tb09.211.3010	3
Tb09.211.3070	3
Tb09.211.3230	3
Tb09.211.3310	3
Tb09.211.3400	3
Tb09.211.3420	3
Tb09.211.3500	3
Tb09.211.3930	3
Tb09.211.3940	3
Tb09.211.4030	3
Tb09.211.4100	3
Tb09.211.4130	3
Tb09.211.4260	3
Tb09.211.4330	3
Tb09.211.4380	3
Tb09.211.4400	3
Tb09.211.4500	3
Tb09.211.4570	3
Tb09.211.4710	3
Tb09.211.4900	3
Tb09.244.1840	3
Tb09.244.1950	3
Tb09.244.1960	3
Tb09.244.2550	3
Tb09.244.2640	3
Tb11.01.0090	3
Tb11.01.0135	3
Tb11.01.0240	3
Tb11.01.0250	3
Tb11.01.0300	3
Tb11.01.0590	3
Tb11.01.0670	3
Tb11.01.0910	3
Tb11.01.1440	3
Tb11.01.1590	3
Tb11.01.1600	3
Tb11.01.1720	3
Tb11.01.1730	3
Tb11.01.1740	3
Tb11.01.1750	3
Tb11.01.1820	3
Tb11.01.2210	3
Tb11.01.2230	3
Tb11.01.2490	3
Tb11.01.2740	3
Tb11.01.2930	3
Tb11.01.3080	3
Tb11.01.3100	3
Tb11.01.3190	3
Tb11.01.3290	3
Tb11.01.3490	3
Tb11.01.3930	3
Tb11.01.4080	3
Tb11.01.4210	3
Tb11.01.4703	3
Tb11.01.4780	3
Tb11.01.4950	3
Tb11.01.5030	3
Tb11.01.5260	3
Tb11.01.5400	3
Tb11.01.5440	3
Tb11.01.5610	3
Tb11.01.6360	3
Tb11.01.6430	3
Tb11.01.6470	3
Tb11.01.6820	3
Tb11.01.6900	3
Tb11.01.7140	3
Tb11.01.7290	3
Tb11.01.7340	3
Tb11.01.7700	3
Tb11.01.7760	3
Tb11.01.7980	3
Tb11.02.0050	3
Tb11.02.0070	3
Tb11.02.0190	3
Tb11.02.0450	3
Tb11.02.0600	3
Tb11.02.0970	3
Tb11.02.1030	3
Tb11.02.1120	3
Tb11.02.1150	3
Tb11.02.1490	3
Tb11.02.1550	3
Tb11.02.1560	3
Tb11.02.1600	3
Tb11.02.1930	3
Tb11.02.2070	3
Tb11.02.2130	3
Tb11.02.2200	3
Tb11.02.2300	3
Tb11.02.2480	3
Tb11.02.2730	3
Tb11.02.3065	3
Tb11.02.3120	3
Tb11.02.3150	3
Tb11.02.3320	3
Tb11.02.3350	3
Tb11.02.3470	3
Tb11.02.4120	3
Tb11.02.4150	3
Tb11.02.4400	3
Tb11.02.4410	3
Tb11.02.4450	3
Tb11.02.4600	3
Tb11.02.4640	3
Tb11.02.4680	3
Tb11.02.4730	3
Tb11.02.4810	3
Tb11.02.4850	3
Tb11.02.4900	3
Tb11.02.5260	3
Tb11.02.5350	3
Tb11.02.5440	3
Tb11.02.5760	3
Tb11.03.0310	3
Tb11.03.0320	3
Tb11.03.0460	3
Tb11.03.0500	3
Tb11.03.0550	3
Tb11.03.0670	3
Tb11.18.0018	3
Tb11.39.0010	3
Tb11.46.0011	3
Tb11.47.0007	3
Tb11.47.0026	3
Tb11.47.0028	3
Tb11.47.0032	3
Tb11.50.0004	3
Tb11.52.0001	3
Tb11.52.0009	3
Tb11.55.0014	3
Tb11.57.0005	3
Tb927.1.1020	3
Tb927.1.1330	3
Tb927.1.1530	3
Tb927.1.1890	3
Tb927.1.2700	3
Tb927.1.3030	3
Tb927.1.3070	3
Tb927.1.3230	3
Tb927.1.4050	3
Tb927.1.4450	3
Tb927.1.4480	3
Tb927.1.4680	3
Tb927.1.4740	3
Tb927.1.4780	3
Tb927.1.830	3
Tb927.10.10010	3
Tb927.10.10070	3
Tb927.10.10130	3
Tb927.10.10160	3
Tb927.10.10300	3
Tb927.10.10420	3
Tb927.10.10430	3
Tb927.10.10670	3
Tb927.10.10680	3
Tb927.10.10820	3
Tb927.10.11140	3
Tb927.10.11220	3
Tb927.10.11270	3
Tb927.10.11420	3
Tb927.10.1150	3
Tb927.10.11620	3
Tb927.10.11830	3
Tb927.10.11860	3
Tb927.10.11950	3
Tb927.10.12060	3
Tb927.10.12110	3
Tb927.10.12160	3
Tb927.10.12200	3
Tb927.10.12300	3
Tb927.10.12580	3
Tb927.10.12700	3
Tb927.10.1280	3
Tb927.10.13070	3
Tb927.10.13680	3
Tb927.10.13690	3
Tb927.10.13880	3
Tb927.10.14130	3
Tb927.10.14460	3
Tb927.10.14770	3
Tb927.10.14860	3
Tb927.10.15020	3
Tb927.10.15210	3
Tb927.10.15350	3
Tb927.10.15810	3
Tb927.10.15980	3
Tb927.10.160	3
Tb927.10.1600	3
Tb927.10.1610	3
Tb927.10.16120	3
Tb927.10.1900	3
Tb927.10.1940	3
Tb927.10.2040	3
Tb927.10.2280	3
Tb927.10.2510	3
Tb927.10.2660	3
Tb927.10.2770	3
Tb927.10.3040	3
Tb927.10.3220	3
Tb927.10.3460	3
Tb927.10.350	3
Tb927.10.3540	3
Tb927.10.3570	3
Tb927.10.3640	3
Tb927.10.3670	3
Tb927.10.3700	3
Tb927.10.3800	3
Tb927.10.3820	3
Tb927.10.3950	3
Tb927.10.3960	3
Tb927.10.410	3
Tb927.10.4650	3
Tb927.10.470	3
Tb927.10.4850	3
Tb927.10.5210	3
Tb927.10.5490	3
Tb927.10.5510	3
Tb927.10.5760	3
Tb927.10.5780	3
Tb927.10.6190	3
Tb927.10.6280	3
Tb927.10.6300	3
Tb927.10.6320	3
Tb927.10.6410	3
Tb927.10.6570	3
Tb927.10.6590	3
Tb927.10.6710	3
Tb927.10.7150	3
Tb927.10.720	3
Tb927.10.7360	3
Tb927.10.7400	3
Tb927.10.7480	3
Tb927.10.7590	3
Tb927.10.780	3
Tb927.10.7890	3
Tb927.10.8220	3
Tb927.10.8250	3
Tb927.10.8360	3
Tb927.10.850	3
Tb927.10.8530	3
Tb927.10.8640	3
Tb927.10.890	3
Tb927.10.9100	3
Tb927.10.9150	3
Tb927.10.9450	3
Tb927.10.9790	3
Tb927.2.160	3
Tb927.2.1600	3
Tb927.2.2120	3
Tb927.2.2410	3
Tb927.2.2650	3
Tb927.2.2860	3
Tb927.2.2910	3
Tb927.2.3080	3
Tb927.2.3960	3
Tb927.2.4370	3
Tb927.2.4680	3
Tb927.2.4720	3
Tb927.2.5190	3
Tb927.2.5440	3
Tb927.3.1290	3
Tb927.3.1300	3
Tb927.3.1530	3
Tb927.3.1610	3
Tb927.3.1630	3
Tb927.3.1640	3
Tb927.3.1860	3
Tb927.3.1940	3
Tb927.3.2090	3
Tb927.3.2140	3
Tb927.3.2170	3
Tb927.3.2200	3
Tb927.3.2230	3
Tb927.3.2260	3
Tb927.3.2410	3
Tb927.3.2730	3
Tb927.3.2830	3
Tb927.3.2910	3
Tb927.3.3230	3
Tb927.3.3410	3
Tb927.3.3550	3
Tb927.3.3630	3
Tb927.3.3900	3
Tb927.3.4020	3
Tb927.3.4210	3
Tb927.3.4420	3
Tb927.3.4500	3
Tb927.3.4580	3
Tb927.3.4680	3
Tb927.3.4810	3
Tb927.3.5030	3
Tb927.3.5110	3
Tb927.3.5150	3
Tb927.3.5280	3
Tb927.3.5430	3
Tb927.3.5450	3
Tb927.3.5570	3
Tb927.3.5630	3
Tb927.3.5770	3
Tb927.3.630	3
Tb927.3.920	3
Tb927.4.1010	3
Tb927.4.1030	3
Tb927.4.1230	3
Tb927.4.1280	3
Tb927.4.1570	3
Tb927.4.1580	3
Tb927.4.1650	3
Tb927.4.1830	3
Tb927.4.2110	3
Tb927.4.2360	3
Tb927.4.2700	3
Tb927.4.2750	3
Tb927.4.2790	3
Tb927.4.2870	3
Tb927.4.2940	3
Tb927.4.3240	3
Tb927.4.330	3
Tb927.4.3350	3
Tb927.4.3850	3
Tb927.4.3960	3
Tb927.4.4030	3
Tb927.4.4100	3
Tb927.4.4160	3
Tb927.4.4170	3
Tb927.4.4190	3
Tb927.4.4380	3
Tb927.4.4590	3
Tb927.4.4620	3
Tb927.4.4790	3
Tb927.4.4870	3
Tb927.4.500	3
Tb927.4.510	3
Tb927.4.520	3
Tb927.4.5340	3
Tb927.4.5390	3
Tb927.4.570	3
Tb927.4.970	3
Tb927.5.1090	3
Tb927.5.1270	3
Tb927.5.1320	3
Tb927.5.2030	3
Tb927.5.2110	3
Tb927.5.2430	3
Tb927.5.2550	3
Tb927.5.2820	3
Tb927.5.2900	3
Tb927.5.2990	3
Tb927.5.3010	3
Tb927.5.3170	3
Tb927.5.3200	3
Tb927.5.3290	3
Tb927.5.3450	3
Tb927.5.3690	3
Tb927.5.3810	3
Tb927.5.4000	3
Tb927.5.4080	3
Tb927.5.410	3
Tb927.5.4150	3
Tb927.5.4340	3
Tb927.5.560	3
Tb927.5.670	3
Tb927.5.690	3
Tb927.5.720	3
Tb927.5.740	3
Tb927.5.750	3
Tb927.5.840	3
Tb927.6.1160	3
Tb927.6.1510	3
Tb927.6.1620	3
Tb927.6.1690	3
Tb927.6.1870	3
Tb927.6.2020	3
Tb927.6.2130	3
Tb927.6.220	3
Tb927.6.2300	3
Tb927.6.2410	3
Tb927.6.2730	3
Tb927.6.2820	3
Tb927.6.3050	3
Tb927.6.3320	3
Tb927.6.3450	3
Tb927.6.3510	3
Tb927.6.3520	3
Tb927.6.3570	3
Tb927.6.3620	3
Tb927.6.370	3
Tb927.6.3830	3
Tb927.6.3970	3
Tb927.6.400	3
Tb927.6.4050	3
Tb927.6.4360	3
Tb927.6.4570	3
Tb927.6.4700	3
Tb927.6.4940	3
Tb927.6.4990	3
Tb927.6.5140	3
Tb927.6.670	3
Tb927.7.1010	3
Tb927.7.1030	3
Tb927.7.1090	3
Tb927.7.1550	3
Tb927.7.1700	3
Tb927.7.2070	3
Tb927.7.2270	3
Tb927.7.2520	3
Tb927.7.2660	3
Tb927.7.2740	3
Tb927.7.2800	3
Tb927.7.3100	3
Tb927.7.3150	3
Tb927.7.3220	3
Tb927.7.3280	3
Tb927.7.3340	3
Tb927.7.3480	3
Tb927.7.3760	3
Tb927.7.3780	3
Tb927.7.3900	3
Tb927.7.3970	3
Tb927.7.4180	3
Tb927.7.4410	3
Tb927.7.4730	3
Tb927.7.4800	3
Tb927.7.4840	3
Tb927.7.4980	3
Tb927.7.5120	3
Tb927.7.5160	3
Tb927.7.520	3
Tb927.7.540	3
Tb927.7.5600	3
Tb927.7.6120	3
Tb927.7.6240	3
Tb927.7.630	3
Tb927.7.6340	3
Tb927.7.6640	3
Tb927.7.6670	3
Tb927.7.6710	3
Tb927.7.6720	3
Tb927.7.6930	3
Tb927.7.6950	3
Tb927.7.7020	3
Tb927.7.7160	3
Tb927.7.7230	3
Tb927.7.7320	3
Tb927.7.7330	3
Tb927.7.930	3
Tb927.8.1300	3
Tb927.8.1420	3
Tb927.8.1740	3
Tb927.8.1960	3
Tb927.8.2010	3
Tb927.8.2090	3
Tb927.8.2180	3
Tb927.8.2510	3
Tb927.8.2700	3
Tb927.8.3130	3
Tb927.8.3170	3
Tb927.8.3190	3
Tb927.8.3240	3
Tb927.8.3470	3
Tb927.8.3770	3
Tb927.8.4420	3
Tb927.8.4840	3
Tb927.8.5110	3
Tb927.8.5170	3
Tb927.8.5250	3
Tb927.8.5350	3
Tb927.8.5560	3
Tb927.8.5590	3
Tb927.8.5720	3
Tb927.8.580	3
Tb927.8.5830	3
Tb927.8.6090	3
Tb927.8.6210	3
Tb927.8.6280	3
Tb927.8.6380	3
Tb927.8.6410	3
Tb927.8.6430	3
Tb927.8.6460	3
Tb927.8.6490	3
Tb927.8.6570	3
Tb927.8.6650	3
Tb927.8.670	3
Tb927.8.6770	3
Tb927.8.6930	3
Tb927.8.6990	3
Tb927.8.7000	3
Tb927.8.7010	3
Tb927.8.7130	3
Tb927.8.7140	3
Tb927.8.7360	3
Tb927.8.7500	3
Tb927.8.7530	3
Tb927.8.7550	3
Tb927.8.7580	3
Tb927.8.7720	3
Tb927.8.7850	3
Tb927.8.7970	3
Tb927.8.8170	3
Tb927.8.8210	3
Tb927.8.8220	3
Tb927.8.860	3
Tb09.160.0340	2
Tb09.160.0430	2
Tb09.160.0680	2
Tb09.160.1550	2
Tb09.160.1990	2
Tb09.160.2170	2
Tb09.160.2210	2
Tb09.160.2490	2
Tb09.160.2910	2
Tb09.160.3020	2
Tb09.160.3470	2
Tb09.160.3730	2
Tb09.160.3960	2
Tb09.160.4710	2
Tb09.160.4770	2
Tb09.160.4850	2
Tb09.160.4950	2
Tb09.160.5670	2
Tb09.211.0090	2
Tb09.211.0100	2
Tb09.211.0180	2
Tb09.211.0290	2
Tb09.211.0610	2
Tb09.211.1150	2
Tb09.211.1230	2
Tb09.211.1250	2
Tb09.211.1390	2
Tb09.211.2010	2
Tb09.211.2260	2
Tb09.211.2530	2
Tb09.211.2830	2
Tb09.211.3110	2
Tb09.211.3350	2
Tb09.211.3540	2
Tb09.211.3770	2
Tb09.211.3920	2
Tb09.211.3950	2
Tb09.211.4280	2
Tb09.211.4360	2
Tb09.211.4550	2
Tb09.211.4630	2
Tb09.211.4820	2
Tb09.211.4830	2
Tb09.v1.0380	2
Tb11.01.0120	2
Tb11.01.0180	2
Tb11.01.0310	2
Tb11.01.0330	2
Tb11.01.0680	2
Tb11.01.0920	2
Tb11.01.1390	2
Tb11.01.1400	2
Tb11.01.1760	2
Tb11.01.1970	2
Tb11.01.2000	2
Tb11.01.2100	2
Tb11.01.2290	2
Tb11.01.2640	2
Tb11.01.2880	2
Tb11.01.2885	2
Tb11.01.3000	2
Tb11.01.3170	2
Tb11.01.3510	2
Tb11.01.3650	2
Tb11.01.3690	2
Tb11.01.3870	2
Tb11.01.4820	2
Tb11.01.4960	2
Tb11.01.5000	2
Tb11.01.5300	2
Tb11.01.5490	2
Tb11.01.5800	2
Tb11.01.5820	2
Tb11.01.5910	2
Tb11.01.6040	2
Tb11.01.6090	2
Tb11.01.6200	2
Tb11.01.6670	2
Tb11.01.6740	2
Tb11.01.6780	2
Tb11.01.7010	2
Tb11.01.7390	2
Tb11.01.7600	2
Tb11.01.7630	2
Tb11.01.7680	2
Tb11.01.7730	2
Tb11.01.8510	2
Tb11.01.8640	2
Tb11.02.0090	2
Tb11.02.0356	2
Tb11.02.0400	2
Tb11.02.0470	2
Tb11.02.0570	2
Tb11.02.0880	2
Tb11.02.1260	2
Tb11.02.1400	2
Tb11.02.2050	2
Tb11.02.2060	2
Tb11.02.2220	2
Tb11.02.2490	2
Tb11.02.2540	2
Tb11.02.2850	2
Tb11.02.3070	2
Tb11.02.3880	2
Tb11.02.3930	2
Tb11.02.4020	2
Tb11.02.4700	2
Tb11.02.4830	2
Tb11.02.5150	2
Tb11.02.5210	2
Tb11.02.5410	2
Tb11.02.5660	2
Tb11.03.0180	2
Tb11.03.0440	2
Tb11.03.0730	2
Tb11.03.0760	2
Tb11.03.0810	2
Tb11.03.0920	2
Tb11.03.0965	2
Tb11.12.0011	2
Tb11.18.0014	2
Tb11.22.0004	2
Tb11.47.0010	2
Tb11.47.0034	2
Tb11.52.0002	2
Tb11.52.0011	2
Tb11.57.0008	2
Tb11.v4.0004	2
Tb927.1.1380	2
Tb927.1.2190	2
Tb927.1.2200	2
Tb927.1.2430	2
Tb927.1.2670	2
Tb927.1.3180	2
Tb927.1.4040	2
Tb927.1.4380	2
Tb927.1.560	2
Tb927.1.700	2
Tb927.1.710	2
Tb927.1.880	2
Tb927.10.10880	2
Tb927.10.11150	2
Tb927.10.11240	2
Tb927.10.1130	2
Tb927.10.11310	2
Tb927.10.11520	2
Tb927.10.11780	2
Tb927.10.11800	2
Tb927.10.12130	2
Tb927.10.12390	2
Tb927.10.12430	2
Tb927.10.12790	2
Tb927.10.13050	2
Tb927.10.13110	2
Tb927.10.13270	2
Tb927.10.13370	2
Tb927.10.13550	2
Tb927.10.13640	2
Tb927.10.13650	2
Tb927.10.13750	2
Tb927.10.13780	2
Tb927.10.13830	2
Tb927.10.13960	2
Tb927.10.13970	2
Tb927.10.1430	2
Tb927.10.14340	2
Tb927.10.14420	2
Tb927.10.14470	2
Tb927.10.14480	2
Tb927.10.14560	2
Tb927.10.14780	2
Tb927.10.1490	2
Tb927.10.14940	2
Tb927.10.14980	2
Tb927.10.14990	2
Tb927.10.15370	2
Tb927.10.1550	2
Tb927.10.15640	2
Tb927.10.15690	2
Tb927.10.16100	2
Tb927.10.1970	2
Tb927.10.2060	2
Tb927.10.2240	2
Tb927.10.2270	2
Tb927.10.230	2
Tb927.10.2380	2
Tb927.10.240	2
Tb927.10.2520	2
Tb927.10.2670	2
Tb927.10.2780	2
Tb927.10.290	2
Tb927.10.2950	2
Tb927.10.3160	2
Tb927.10.3310	2
Tb927.10.3410	2
Tb927.10.4280	2
Tb927.10.450	2
Tb927.10.4530	2
Tb927.10.4550	2
Tb927.10.4700	2
Tb927.10.4880	2
Tb927.10.5030	2
Tb927.10.5110	2
Tb927.10.5140	2
Tb927.10.5240	2
Tb927.10.5350	2
Tb927.10.5380	2
Tb927.10.550	2
Tb927.10.5840	2
Tb927.10.5980	2
Tb927.10.6010	2
Tb927.10.6160	2
Tb927.10.6230	2
Tb927.10.6350	2
Tb927.10.6360	2
Tb927.10.6510	2
Tb927.10.7060	2
Tb927.10.7240	2
Tb927.10.7350	2
Tb927.10.7380	2
Tb927.10.7440	2
Tb927.10.7630	2
Tb927.10.7740	2
Tb927.10.8040	2
Tb927.10.8060	2
Tb927.10.8170	2
Tb927.10.8240	2
Tb927.10.8390	2
Tb927.10.8610	2
Tb927.10.870	2
Tb927.10.8790	2
Tb927.10.8820	2
Tb927.10.9440	2
Tb927.10.9570	2
Tb927.10.9670	2
Tb927.10.970	2
Tb927.10.9720	2
Tb927.2.1810	2
Tb927.2.1850	2
Tb927.2.2090	2
Tb927.2.2370	2
Tb927.2.2670	2
Tb927.2.2920	2
Tb927.2.3190	2
Tb927.2.3720	2
Tb927.2.4060	2
Tb927.2.4140	2
Tb927.2.4520	2
Tb927.2.4540	2
Tb927.2.4810	2
Tb927.2.5850	2
Tb927.2.6100	2
Tb927.3.1350	2
Tb927.3.1370	2
Tb927.3.1670	2
Tb927.3.1750	2
Tb927.3.1930	2
Tb927.3.2310	2
Tb927.3.2760	2
Tb927.3.2790	2
Tb927.3.2990	2
Tb927.3.3000	2
Tb927.3.3110	2
Tb927.3.3210	2
Tb927.3.3490	2
Tb927.3.3590	2
Tb927.3.3700	2
Tb927.3.3880	2
Tb927.3.3920	2
Tb927.3.4080	2
Tb927.3.4630	2
Tb927.3.4720	2
Tb927.3.4760	2
Tb927.3.4820	2
Tb927.3.4890	2
Tb927.3.5040	2
Tb927.3.5070	2
Tb927.3.5250	2
Tb927.3.5270	2
Tb927.3.5480	2
Tb927.3.5490	2
Tb927.3.5540	2
Tb927.3.720	2
Tb927.3.780	2
Tb927.4.1070	2
Tb927.4.1210	2
Tb927.4.1270	2
Tb927.4.1340	2
Tb927.4.1520	2
Tb927.4.1630	2
Tb927.4.1680	2
Tb927.4.2000	2
Tb927.4.2060	2
Tb927.4.2070	2
Tb927.4.2080	2
Tb927.4.2140	2
Tb927.4.2220	2
Tb927.4.2260	2
Tb927.4.2380	2
Tb927.4.2400	2
Tb927.4.2620	2
Tb927.4.2640	2
Tb927.4.2720	2
Tb927.4.2810	2
Tb927.4.2860	2
Tb927.4.3380	2
Tb927.4.3470	2
Tb927.4.3520	2
Tb927.4.410	2
Tb927.4.4130	2
Tb927.4.5110	2
Tb927.4.560	2
Tb927.4.660	2
Tb927.4.760	2
Tb927.4.920	2
Tb927.5.1130	2
Tb927.5.1230	2
Tb927.5.1340	2
Tb927.5.1480	2
Tb927.5.1690	2
Tb927.5.1900	2
Tb927.5.1920	2
Tb927.5.2090	2
Tb927.5.2290	2
Tb927.5.2330	2
Tb927.5.2410	2
Tb927.5.2860	2
Tb927.5.2940	2
Tb927.5.3030	2
Tb927.5.3230	2
Tb927.5.3240	2
Tb927.5.3250	2
Tb927.5.3350	2
Tb927.5.3490	2
Tb927.5.3600	2
Tb927.5.4170	2
Tb927.5.4480	2
Tb927.5.4570	2
Tb927.5.570	2
Tb927.5.760	2
Tb927.5.810	2
Tb927.6.1090	2
Tb927.6.1100	2
Tb927.6.1270	2
Tb927.6.1570	2
Tb927.6.1660	2
Tb927.6.1720	2
Tb927.6.1770	2
Tb927.6.1910	2
Tb927.6.2000	2
Tb927.6.2060	2
Tb927.6.2190	2
Tb927.6.2290	2
Tb927.6.2920	2
Tb927.6.2930	2
Tb927.6.3090	2
Tb927.6.3180	2
Tb927.6.3480	2
Tb927.6.3600	2
Tb927.6.3670	2
Tb927.6.3790	2
Tb927.6.4470	2
Tb927.6.4670	2
Tb927.6.4770	2
Tb927.6.4800	2
Tb927.6.5040	2
Tb927.6.5110	2
Tb927.6.600	2
Tb927.6.700	2
Tb927.6.890	2
Tb927.7.1120	2
Tb927.7.1320	2
Tb927.7.1330	2
Tb927.7.1360	2
Tb927.7.190	2
Tb927.7.2450	2
Tb927.7.2500	2
Tb927.7.270	2
Tb927.7.3130	2
Tb927.7.3330	2
Tb927.7.3370	2
Tb927.7.3420	2
Tb927.7.3560	2
Tb927.7.3680	2
Tb927.7.3740	2
Tb927.7.4030	2
Tb927.7.4100	2
Tb927.7.4280	2
Tb927.7.4420	2
Tb927.7.4450	2
Tb927.7.4820	2
Tb927.7.500	2
Tb927.7.5030	2
Tb927.7.5040	2
Tb927.7.5090	2
Tb927.7.5220	2
Tb927.7.5800	2
Tb927.7.6250	2
Tb927.7.6910	2
Tb927.7.6980	2
Tb927.7.7200	2
Tb927.7.7450	2
Tb927.7.7460	2
Tb927.8.1010	2
Tb927.8.1170	2
Tb927.8.1250	2
Tb927.8.1500	2
